mobile_price,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight
8499,15.8,1094400,9,8,2,32,2,5000,9,175,92,186
8498,15.8,1094400,9,8,2,32,2,5000,9,175,92,186
9990,15.8,1094400,9,8,1.95,64,3,5000,75.41,156.48,9.4,191
9990,15.8,1094400,9,8,1.95,64,3,5000,75.41,156.48,9.4,191
11349,15.9,2462400,8,8,1.8,64,4,4000,76.4,157.9,8.26,181
16999,16,2527200,9,8,2,128,6,4000,75.21,159.21,8.1,186
9999,15.8,1094400,9,8,1.95,64,3,5000,75.41,156.48,9.4,191
19999,16.94,2592000,10,8,2.3,128,6,5020,76.68,165.75,8.8,209
14800,16,2527200,9,8,2.2,64,4,4000,75.21,159.21,8.1,186
13990,15.21,2332800,8,8,2.2,64,4,3010,75.4,158.7,7.3,168
6699,13.84,1036800,9,8,2,32,2,4000,70.4,146.3,9.55,165
8689,15.21,1036800,8,8,2,32,3,3080,77.26,160.73,8.1,168
11599,13.97,921600,7,8,1.4,64,4,3080,76.2,153,7.7,154
7999,15.21,1036800,8,8,2,32,3,3080,77.26,160.73,8.1,168
9900,16.13,1111680,9,8,2,64,3,5000,76.77,159.43,8.92,190.5
10990,16.13,1111680,9,8,2,32,3,5000,76.77,159.43,8.92,190.5
10849,16.13,1111680,9,8,1.95,32,3,5000,76.77,159.43,8.92,190.5
16990,16.21,2527200,9,8,2.3,64,6,4500,75.23,159.53,8.13,189.6
16990,16.21,2527200,9,8,2.3,64,6,4500,75.23,159.53,8.13,189.6
18990,16.21,2527200,9,8,2.3,128,8,4500,75.23,159.53,8.13,189.6
18990,16.21,2527200,9,8,2.3,128,8,4500,75.23,159.53,8.13,189.6
12990,16.13,1111680,9,8,2,64,4,5000,76.77,159.43,8.92,190.5
10849,16.13,1111680,9,8,1.95,32,3,5000,76.77,159.43,8.92,190.5
19990,16.21,2527200,9,8,2,128,8,4500,75.19,159.25,8.68,186.7
19990,16.21,2527200,9,8,2,128,8,4500,75.19,159.25,8.68,186.7
19990,16.21,2527200,9,8,2,128,8,4500,75.19,159.25,8.68,186.7
8990,15.8,1094400,8,8,2,32,3,4030,75.09,155.11,8.28,163.5
11982,15.8,1094400,8,8,2,32,3,4030,75.09,155.11,8.28,163.5
17990,16.59,2527200,10,8,2,128,8,5000,76.46,162.04,9.11,197
17990,16.59,2527200,10,8,2,128,8,5000,76.46,162.04,9.11,197
17990,16.59,2527200,9,8,2.3,128,6,5000,77.33,162.39,8.85,201
13990,16.59,2527200,9,8,2.3,64,4,5000,77.33,162.39,8.85,201
17990,16.59,2527200,9,8,2.3,128,6,5000,77.33,162.39,8.85,201
8705,15.8,1094400,8,8,2,32,2,4030,75.09,155.11,8.28,163.5
8949,15.8,1094400,8,8,2,32,2,4030,75.09,155.11,8.28,163.5
16375,16.59,2527200,9,8,2,128,4,5000,76.47,162.15,8.89,193
31990,16.36,2592000,10,8,2.3,256,8,4500,75.04,159.64,8.5,186.5
27990,16.36,2592000,10,8,2.3,128,8,4500,75.04,159.64,8.5,186.5
27990,16.36,2592000,10,8,2.3,128,8,4500,75.04,159.64,8.5,186.5
31990,16.36,2592000,10,8,2.3,256,8,4500,75.04,159.64,8.5,186.5
24990,16.36,2592000,9,8,2,128,8,4500,74.17,159.01,8.54,176
24990,16.36,2592000,9,8,2,128,8,4500,74.17,159.01,8.54,176
11990,16.13,1111680,9,8,2,64,3,5000,76.77,159.43,8.92,190.5
18990,16.21,2527200,9,8,2,64,6,4500,75.23,159.53,8.13,179
16990,16.21,2527200,9,8,2,128,4,4500,75.23,159.53,8.13,179
19990,16.21,2527200,9,8,2,128,6,4500,75.23,159.53,8.13,179
16990,16.21,2527200,9,8,2,128,4,4500,75.23,159.53,8.13,179
19990,16.21,2527200,9,8,2,128,6,4500,75.23,159.53,8.13,179
9199,15.8,1094400,8,8,2,16,2,4030,75.09,155.11,8.28,163.5
22399,16.23,2527200,9,8,2,128,6,3700,74.71,157.25,8.21,185
13990,16.13,1111680,9,8,2.3,128,4,5000,76.77,159.43,8.92,190.5
21099,16.23,2527200,9,8,2,128,6,3700,74.71,157.25,8.21,185
29499,16.36,2592000,9,8,2,128,8,4100,74.7,159,9.8,201.8
29499,16.36,2592000,9,8,2,128,8,4100,74.7,159,9.8,201.8
11490,16.13,1111680,9,8,2,64,3,5000,76.77,159.43,8.92,190.5
28499,16.23,2527200,9,8,2,128,8,3700,74.71,157.25,8.21,185
28990,16.28,2527200,8,8,1.95,64,6,3400,75.08,157.91,7.9,156
29990,16.74,2501280,8,8,2.8,128,8,4000,77,162,7.98,199
13990,15.49,1094400,8,8,2,32,3,3260,75,155.06,7.77,148
16990,16,2462400,8,8,1.8,32,4,3260,75.03,154.81,7.89,150
21099,16.59,2527200,9,8,2.1,64,6,4000,75.93,161.97,8.54,189.5
15500,15.8,1094400,8,8,2,32,4,4030,75.09,155.11,8.28,163.5
14990,15.8,1094400,8,8,2,64,3,4030,75.09,155.11,8.28,163.5
11990,15.8,1094400,8,8,2,32,2,4030,75.09,155.11,8.28,163.5
18900,14.48,1036800,7,8,1.8,32,4,3000,72.8,149.3,7.9,139
15990,14.48,1036800,7,8,1.8,32,4,3000,72.8,149.3,7.9,139
11999,15.8,1094400,8,8,2,32,4,3260,75.24,155.21,7.7,151
24000,16,2462400,8,8,2.2,64,4,3260,75.03,154.81,7.89,150
8900,15.24,1036800,8,4,1.4,16,2,3360,75.74,155.87,7.8,150
15990,15.8,1094400,8,8,2,32,4,4030,75.09,155.11,8.28,163.5
10990,16.13,1111680,9,8,2,32,3,5000,76.77,159.43,8.92,190.5
14990,16.59,2527200,9,8,2.3,64,6,5000,77.33,162.39,8.85,201
13990,16.59,2527200,9,8,2.3,64,4,5000,77.33,162.39,8.85,201
14990,16.59,2527200,9,8,2.3,64,6,5000,77.33,162.39,8.85,201
12990,16.13,1111680,9,8,2,64,4,5000,76.77,159.43,8.92,190.5
12990,16.13,1111680,9,8,2,64,4,5000,76.77,159.43,8.92,190.5
17990,16,2462400,8,8,1.95,64,4,3260,75.03,154.81,7.89,150
17990,16,2462400,8,8,1.95,64,4,3260,75.03,154.81,7.89,150
11500,15.49,1094400,8,8,2,32,3,3260,75,155.06,7.77,148
17999,16,2462400,8,8,1.8,32,4,3260,75.03,154.81,7.89,150
9990,15.8,1094400,8,8,2,32,3,4030,75.09,155.11,8.28,163.5
10900,15.24,1036800,8,4,1.4,16,3,3360,75.74,155.87,7.8,150
12000,15.24,1036800,8,4,1.4,32,4,3360,75.74,155.87,7.8,150
22325,15.21,1036800,7,8,1.8,64,4,3225,75.74,155.87,7.7,160
13995,13.21,921600,6,4,1.4,16,3,2730,72.9,149.9,7.5,142
13529,13.21,921600,6,4,1.4,16,3,2730,72.9,149.9,7.5,142
11990,15.8,1094400,8,4,2,16,2,3260,75,155.06,7.77,143
15500,15.8,1094400,8,8,2,32,4,4030,75.09,155.11,8.28,163.5
14990,15.8,1094400,8,8,2,64,3,4030,75.09,155.11,8.28,163.5
11990,15.8,1094400,8,8,2,32,2,4030,75.09,155.11,8.28,163.5
18900,14.48,1036800,7,8,1.8,32,4,3000,72.8,149.3,7.9,139
15990,14.48,1036800,7,8,1.8,32,4,3000,72.8,149.3,7.9,139
11999,15.8,1094400,8,8,2,32,4,3260,75.24,155.21,7.7,151
24000,16,2462400,8,8,2.2,64,4,3260,75.03,154.81,7.89,150
8900,15.24,1036800,8,4,1.4,16,2,3360,75.74,155.87,7.8,150
15990,15.8,1094400,8,8,2,32,4,4030,75.09,155.11,8.28,163.5
13990,16.59,2527200,9,8,2.3,64,4,5000,77.33,162.39,8.85,201
14990,16.59,2527200,9,8,2.3,64,6,5000,77.33,162.39,8.85,201
14990,16.59,2527200,9,8,2.3,64,6,5000,77.33,162.39,8.85,201
12990,16.13,1111680,9,8,2,64,4,5000,76.77,159.43,8.92,190.5
11490,16.13,1111680,9,8,2,64,3,5000,76.77,159.43,8.92,190.5
12990,16.13,1111680,9,8,2,64,4,5000,76.77,159.43,8.92,190.5
17990,16,2462400,8,8,1.95,64,4,3260,75.03,154.81,7.89,150
17990,16,2462400,8,8,1.95,64,4,3260,75.03,154.81,7.89,150
10900,15.24,1036800,8,4,1.4,16,3,3360,75.74,155.87,7.8,150
12000,15.24,1036800,8,4,1.4,32,4,3360,75.74,155.87,7.8,150
8998,15.8,1094400,8,8,2,32,2,4030,75.09,155.11,8.28,163.5
8990,15.8,1094400,8,8,2,32,2,4030,75.09,155.11,8.28,163.5
14914,13.97,921600,7,8,1.5,32,3,3000,75.7,154.6,7.7,162.8
14538,15.8,1094400,8,8,2,32,4,3260,75,155.06,7.77,148
17490,16.26,2527200,9,8,2.3,128,4,6000,159,9,75,186
16499,16.51,1152000,10,8,2,64,4,5000,75.3,163.6,8.9,191
16499,16.51,1152000,10,8,2,64,4,5000,75.3,163.6,8.9,191
18499,16.51,1152000,10,8,2,64,6,5000,75.3,163.6,8.9,191
18499,16.51,1152000,10,8,2,64,6,5000,75.3,163.6,8.9,191
18499,16.51,1152000,10,8,2,64,6,5000,75.3,163.6,8.9,191
17490,16.51,1152000,10,8,2,64,4,5000,75.3,163.6,8.9,191
15999,16.26,2527200,10,8,2.3,64,4,6000,75,159,9,188
15990,16.26,2527200,10,8,2.3,64,4,6000,75,159,9,188
6299,12.7,518400,8,4,1.4,16,1,2600,72.1,143.4,8.95,154
19900,16.26,2527200,10,8,2.3,128,6,6000,9,159,75,191
47999,17.02,2592000,10,8,2.8,512,8,4500,75.6,162.5,8.1,187
47999,17.02,2592000,10,8,2.8,512,8,4500,75.6,162.5,8.1,187
6000,11.94,518400,5,4,1.3,8,1,2000,69,136.5,8.4,130
20995,13.97,2073600,7,8,1.6,64,3,3600,74.7,152.4,7.8,178
11995,13.97,921600,7,8,1.6,16,2,3000,152.4,78.6,7.6,170
10995,13.97,921600,7,8,1.6,16,2,3000,152.4,78.6,7.6,170
9999,16.76,1152000,10,8,2,64,4,5000,76.8,165,8.7,185
9999,16.76,1152000,10,8,2,64,4,5000,76.8,165,8.7,185
8999,16.76,1152000,10,8,2,64,4,5000,76.8,165,8.7,185
8999,16.76,1152000,10,8,2,64,4,5000,76.8,165,8.7,185
10999,15.06,2332800,8,8,2,64,4,4000,75,158,8.4,190
11499,16.59,2527200,10,8,2.3,64,4,4000,76.88,162.5,8.95,194
11499,16.59,2527200,10,8,2.3,64,4,4000,76.88,162.5,8.95,194
10999,15.06,2332800,8,8,2,64,4,4000,75,158,8.4,190
10999,15.75,1080000,8,8,1.4,32,3,4000,75.3,156.7,8.3,150
10999,15.75,1080000,8,8,1.4,32,3,4000,75.3,156.7,8.3,150
7699,15.21,2332800,8,8,2,64,4,4500,75.25,158.25,8.65,175
7699,15.21,2332800,8,8,2,64,4,4500,75.25,158.25,8.65,175
9999,15.72,1080000,9,8,2.39,64,4,4000,74.8,153.9,7.9,159
9999,15.72,1080000,9,8,2.39,64,4,4000,74.8,153.9,7.9,159
9999,15.72,1080000,9,8,2.39,64,4,4000,74.8,153.9,7.9,159
7599,15.21,2332800,8,8,2,32,3,4500,75.25,158.25,8.65,175
11999,14.35,1036800,8,8,1.4,64,4,4000,72.85,153,8.4,150
11999,14.35,1036800,8,8,1.4,64,4,4000,72.85,153,8.4,150
11999,14.35,1036800,8,8,1.4,64,4,4000,72.85,153,8.4,150
8499,16.76,1152000,9,8,2,64,4,4000,76,164,7.9,178
8499,16.76,1152000,9,8,2,64,4,4000,76,164,7.9,178
8499,16.76,1152000,9,8,2,64,4,4000,76,164,7.9,178
7599,15.21,2332800,8,8,2,32,3,4500,75.25,158.25,8.65,175
19999,15.19,2073600,7,8,2.6,128,6,4350,82.38,166.38,7.95,197
9599,15.77,1094400,9,8,2,32,3,4000,75,156,7.9,155
9599,15.77,1094400,9,8,2,32,3,4000,75,156,7.9,155
9599,15.77,1094400,9,8,2,32,3,4000,75,156,7.9,155
9599,16.76,1152000,9,8,2,64,4,4000,76,164,7.9,178
9599,16.76,1152000,9,8,2,64,4,4000,76,164,7.9,178
9999,14.35,1036800,8,8,1.4,32,3,4000,72.85,153,8.4,150
9999,14.35,1036800,8,8,1.4,32,3,4000,72.85,153,8.4,150
9999,14.35,1036800,8,8,1.4,32,3,4000,72.85,153,8.4,150
9999,14.35,1036800,8,8,1.4,32,3,4000,72.85,153,8.4,150
7699,15.21,2332800,8,8,2,64,4,4500,75.25,158.25,8.65,175
17999,15.19,2073600,7,8,2.6,64,6,4350,82.38,166.38,7.95,197
17999,15.19,2073600,7,8,2.6,64,6,4350,82.38,166.38,7.95,197
18999,15.7,2332800,8,8,2.8,128,6,4000,75.3,155.5,8.8,180
22999,15.7,2332800,8,8,2.8,256,8,4000,75.3,155.5,8.8,180
22999,15.7,2332800,8,8,2.8,256,8,4000,75.3,155.5,8.8,180
22999,15.7,2332800,8,8,2.8,256,8,4000,75.3,155.5,8.8,180
19999,15.7,2332800,8,8,2.8,64,6,4000,75.3,155.5,8.8,180
21499,16.94,2592000,10,8,2.2,256,8,4500,76.6,165.3,8.79,208
17499,16.94,2592000,10,8,2.2,64,6,4500,76.6,165.3,8.79,208
17499,16.94,2592000,10,8,2.2,64,6,4500,76.6,165.3,8.79,208
18499,16.94,2592000,10,8,2.2,128,6,4500,76.6,165.3,8.79,208
18499,16.94,2592000,10,8,2.2,128,6,4500,76.6,165.3,8.79,208
